Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2020,"12        ",Female,17,Right-Handed,153,20,,2,Car,15,.36,35,Other,1000,615,1000,925,727,824,19,"Right foot",,,,August,Fall,Yes,No,Soups,Water,Art,3,8,4,"Yes - other","In person",5,15,2,0.5,36,3.5,6,1.5,4,2,40,0,0,7,"A lot","Graduate degree","Rhythm and blues (R&B)","Freeze time",Happy,"Coach or club leader","International aid"
USA,CA,2020,"12        ",Male,17,Right-Handed,172,27,,2,Car,15,0.43,"46 ",Soccer,1000,1000,1000,1000,500,800,27,"Same length",8,8,"Same length",March,Summer,No,No,Poultry,Water,Art,8,0,5,"Yes - other","Internet chat or instant messaging",40,100,4,1,0,10,2,20,15,3,100,20,5,18,None,"High school","Rap/Hip hop","Super strength",Rich,"Sports person",Health
USA,CA,2020,"12        ",Male,18,Right-Handed,162.6,22,162.6,2,Car,15,0.373,35,Soccer,0,1000,1000,500,1000,1000,22,"Same length",80,70,"Index finger",January,Winter,No,No,Meat,Water,Art,8,6,5,"Yes - broadband connection","Text messaging",100,200,40,0,30,0,10,7,25,25,10,10,24,10,"A lot","Graduate degree",Other,"Freeze time",Rich,"Sports person","Wildlife, animals"
USA,CA,2020,"11        ",Male,16,Right-Handed,186,27,191,1,Bus,40,0.306,40,None,86,193,96,32,455,1000,27,,9,10,"Ring finger",August,Fall,No,No,Pizza/Pasta,Water,"Computers and technology",5,5,6,"Yes - broadband connection",Other,500,1000,0,46,4,3,0,46,4,0,46,0,0,2,None,"Some college",Other,Invisibility,Rich,"Community leader or elder","Arts, culture, sports"
USA,CA,2020,"7         ",Female,12,Right-Handed,5'4,"8 1/2",164cm,3,Car,10,0.489,37,Basketball,1000,1000,1000,1000,1000,1000,"8 1/2","Same length",8,7,"Index finger",February,Winter,No,No,Pizza/Pasta,"Sports drink","Mathematics and statistics",6,4,3,"Yes - other","In person",9,9,6,3,1,8,5,3,5,3,3,0,0,4,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,"Sports person",Health
USA,CA,2020,"7         ",Male,12,Right-Handed,136,27,150,2,Bus,20,0.695,48,Tennis,1000,503,1000,1000,0,1000,26,"Right foot",70,70,"Same length",May,Summer,No,No,"No favorite",Water,Science,8,"6,7",5,"Yes - broadband connection","Text messaging",0,0,0,0,1,3,0,5,3,0,24/7,2,0,0,None,"Graduate degree",,"Freeze time",,,Other
USA,CA,2020,"11        ",Male,15,Right-Handed,183,4.1,166,3,Car,20,0.334,30,Other,904,840,1000,840,241,476,4.1,"Same length",90,85,"Ring finger",April,Summer,No,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",9,9,4,"Yes - broadband connection","In person",5,8,20,0,10,10,5,2,1,1,3,4,0,3,Some,Other,Pop,Fly,Happy,"Business person",Health
USA,CA,2020,"12        ",Female,17,Right-Handed,"5""5",24,156,2,"Rail (Train/Tram/Subway)",30,0.617,47,Basketball,20,1000,1000,1000,5,100,26,"Left foot",12mm,11mm,"Ring finger",July,Winter,No,No,Other,Juice,Art,5,8,2,"Yes - other","Internet chat or instant messaging",4,4,0,0,10,5,0,0,15,0,15,15,20,17,"A lot","High school",Other,Telepathy,Rich,Actor,"Wildlife, animals"
USA,CA,2020,"11        ",Female,17,Right-Handed,158,25,165,3,Car,10,0.276,35,"Martial Arts",800,800,490,490,1000,1000,26,"Left foot",85,80,"Index finger",March,Fall,No,No,Meat,Tea,"Computers and technology",4,0,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",300,400,60,3,7,5,6,8,168,100,90,50,30,10000,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,"International aid"
USA,CA,2020,"11        ",Female,16,Right-Handed,154,22.86,91.44,2,Bus,40,0.477,,Golf,1000,1000,668,829,70,11,22.89,"Same length",63.5,63.5,"Same length",June,Summer,No,No,Desserts,Water,"Computers and technology",5,10,4,"Yes - broadband connection","Internet chat or instant messaging",3,7,4,0,5,3,1,1,6,1,8,3,0,1,"A lot","Graduate degree","Punk rock","Freeze time",Rich,"Business person",Environment
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Female,12,Left-Handed,,,,2,Bus,,,,,,,,,,,,,,,,,Winter,Yes,No,Desserts,Water,History,8,11,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",,,,,,,,,,,,,,,"Very little",,"Rap/Hip hop","Freeze time",Happy,Actor,Health
USA,CA,2020,"7         ",Male,13,Right-Handed,,25,150,2,Car,6,.36,40,Skateboarding/Rollerblading,1000,1000,1000,900,500,500,25,"Same length",70,70,"Same length",October,Summer,No,No,Poultry,Water,Science,8,4,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,0,35,1,0,10,5,0,20,1,5,10,0,8,Some,"High school","Punk rock",Telepathy,Happy,Relative,"Wildlife, animals"
